...1,file,speaker,language,duration,segment,word,f1,f2,f3,previous_sound,next_sound,percent,IsApproximant,IsAcoustic,gender,omit,position
557,JP_dbtzn2_leap198_L,dbtzn2,Japanese,0.044,L,leap,296,1490,2435,-,IY1,50,yes,yes,Male,0,initial
558,JP_dbtzn2_leave181_L,dbtzn2,Japanese,0.104,L,leave,325,1238,2611,-,IY1,50,yes,yes,Male,0,initial
559,JP_dbtzn2_loom077_L,dbtzn2,Japanese,0.078,L,loom,286,1491,1880,-,UW1,50,yes,yes,Male,0,initial
560,JP_dbtzn2_loom126_L,dbtzn2,Japanese,0.05,L,loom,290,1578,2411,-,UW1,50,yes,yes,Male,0,initial
561,JP_dbtzn2_lube094_L,dbtzn2,Japanese,0.066,L,lube,301,1632,2578,-,UW1,50,yes,yes,Male,0,initial
562,JP_dbtzn2_lube143_L,dbtzn2,Japanese,0.102,L,lube,284,1557,2630,-,UW1,50,yes,yes,Male,0,initial
563,JP_dbtzn2_ram045_R,dbtzn2,Japanese,0.064,R,ram,344,1545,2736,-,AE1,50,yes,yes,Male,0,initial
564,JP_dbtzn2_ram095_R,dbtzn2,Japanese,0.08,R,ram,344,1546,2594,-,AE1,50,yes,yes,Male,0,initial
565,JP_dbtzn2_ram144_R,dbtzn2,Japanese,0.092,R,ram,326,1559,2700,-,AE1,50,yes,yes,Male,0,initial
566,JP_dbtzn2_ram193_R,dbtzn2,Japanese,0.104,R,ram,342,1619,2570,-,AE1,50,yes,yes,Male,0,initial
567,JP_dbtzn2_ramp046_R,dbtzn2,Japanese,0.058,R,ramp,371,1476,2537,-,AE1,50,yes,yes,Male,0,initial
568,JP_dbtzn2_ramp096_R,dbtzn2,Japanese,0.054,R,ramp,373,1519,2579,-,AE1,50,yes,yes,Male,0,initial
569,JP_dbtzn2_ramp145_R,dbtzn2,Japanese,0.08,R,ramp,391,1313,1662,-,AE1,50,yes,yes,Male,0,initial
570,JP_dbtzn2_ramp194_R,dbtzn2,Japanese,0.07,R,ramp,320,1431,2241,-,AE1,50,yes,yes,Male,0,initial
571,JP_dbtzn2_rap051_R,dbtzn2,Japanese,0.072,R,rap,356,1504,2619,-,AE1,50,yes,yes,Male,0,initial
572,JP_dbtzn2_rap101_R,dbtzn2,Japanese,0.098,R,rap,325,1666,2644,-,AE1,50,yes,yes,Male,0,initial
573,JP_dbtzn2_rap150_R,dbtzn2,Japanese,0.106,R,rap,346,1423,2697,-,AE1,50,yes,yes,Male,0,initial
574,JP_dbtzn2_rap199_R,dbtzn2,Japanese,0.116,R,rap,350,1479,2622,-,AE1,50,yes,yes,Male,0,initial
575,JP_dbtzn2_reef195_R,dbtzn2,Japanese,0.058,R,reef,299,1569,2482,-,IY1,50,yes,yes,Male,0,initial
576,JP_dbtzn2_room055_R,dbtzn2,Japanese,0.048,R,room,258,1604,2540,-,UW1,50,yes,yes,Male,0,initial
577,JP_dbtzn2_room105_R,dbtzn2,Japanese,0.046,R,room,264,1466,2528,-,UW1,50,yes,yes,Male,0,initial
578,JP_dbtzn2_room154_R,dbtzn2,Japanese,0.052,R,room,270,1178,1555,-,UW1,50,yes,yes,Male,0,initial
579,JP_dbtzn2_room202_R,dbtzn2,Japanese,0.038,R,room,256,1480,2601,-,UW1,50,yes,yes,Male,0,initial
580,JP_dbtzn2_rube152_R,dbtzn2,Japanese,0.08,R,rube,320,1546,2616,-,UW1,50,yes,yes,Male,0,initial
581,JP_dbtzn2_rube201_R,dbtzn2,Japanese,0.034,R,rube,322,1462,2393,-,UW1,50,yes,yes,Male,0,initial
582,JP_dcxuft_lamb035_L,dcxuft,Japanese,0.102,L,lamb,397,1331,2592,-,AE1,50,yes,yes,Male,0,initial
583,JP_dcxuft_lamb086_L,dcxuft,Japanese,0.13,L,lamb,307,1433,2693,-,AE1,50,yes,yes,Male,0,initial
584,JP_dcxuft_lamb136_L,dcxuft,Japanese,0.114,L,lamb,336,1447,2708,-,AE1,50,yes,yes,Male,0,initial
585,JP_dcxuft_lamp053_L,dcxuft,Japanese,0.128,L,lamp,386,1278,2694,-,AE1,50,yes,yes,Male,0,initial
586,JP_dcxuft_lamp104_L,dcxuft,Japanese,0.116,L,lamp,337,1346,2754,-,AE1,50,yes,yes,Male,0,initial
587,JP_dcxuft_lamp154_L,dcxuft,Japanese,0.126,L,lamp,425,1196,2739,-,AE1,50,yes,yes,Male,0,initial
588,JP_dcxuft_lap032_L,dcxuft,Japanese,0.08,L,lap,408,1117,2675,-,AE1,50,yes,yes,Male,0,initial
589,JP_dcxuft_lap083_L,dcxuft,Japanese,0.142,L,lap,395,1281,2654,-,AE1,50,yes,yes,Male,0,initial
590,JP_dcxuft_lap133_L,dcxuft,Japanese,0.078,L,lap,355,1233,2695,-,AE1,50,yes,yes,Male,0,initial
591,JP_dcxuft_leaf033_L,dcxuft,Japanese,0.078,L,leaf,317,1498,2458,-,IY1,50,yes,yes,Male,0,initial
592,JP_dcxuft_leaf084_L,dcxuft,Japanese,0.062,L,leaf,301,1694,2592,-,IY1,50,yes,yes,Male,0,initial
593,JP_dcxuft_leaf134_L,dcxuft,Japanese,0.096,L,leaf,319,1610,2485,-,IY1,50,yes,yes,Male,0,initial
594,JP_dcxuft_leap051_L,dcxuft,Japanese,0.136,L,leap,372,1589,2369,-,IY1,50,yes,yes,Male,0,initial
595,JP_dcxuft_leap102_L,dcxuft,Japanese,0.1,L,leap,300,1646,2535,-,IY1,50,yes,yes,Male,0,initial
596,JP_dcxuft_leap152_L,dcxuft,Japanese,0.128,L,leap,304,1616,2546,-,IY1,50,yes,yes,Male,0,initial
597,JP_dcxuft_leave034_L,dcxuft,Japanese,0.11,L,leave,368,1570,2363,-,IY1,50,yes,yes,Male,0,initial
598,JP_dcxuft_leave085_L,dcxuft,Japanese,0.112,L,leave,363,1297,2377,-,IY1,50,yes,yes,Male,0,initial
599,JP_dcxuft_loom028_L,dcxuft,Japanese,0.1,L,loom,357,1085,2582,-,UW1,50,yes,yes,Male,0,initial
600,JP_dcxuft_loom079_L,dcxuft,Japanese,0.116,L,loom,284,1189,2141,-,UW1,50,yes,yes,Male,0,initial
601,JP_dcxuft_loom129_L,dcxuft,Japanese,0.066,L,loom,275,1406,2547,-,UW1,50,yes,yes,Male,0,initial
602,JP_dcxuft_lube045_L,dcxuft,Japanese,0.078,L,lube,275,1315,2502,-,UW1,50,yes,yes,Male,0,initial
603,JP_dcxuft_lube096_L,dcxuft,Japanese,0.128,L,lube,290,1336,1699,-,UW1,50,yes,yes,Male,0,initial
604,JP_dcxuft_lube146_L,dcxuft,Japanese,0.12,L,lube,270,1158,2477,-,UW1,50,yes,yes,Male,0,initial
605,JP_dcxuft_ram046_R,dcxuft,Japanese,0.106,R,ram,409,1307,2700,-,AE1,50,yes,yes,Male,0,initial
606,JP_dcxuft_ram097_R,dcxuft,Japanese,0.188,R,ram,300,1259,2609,-,AE1,50,yes,yes,Male,0,initial
607,JP_dcxuft_ram147_R,dcxuft,Japanese,0.1,R,ram,317,1388,2613,-,AE1,50,yes,yes,Male,0,initial
608,JP_dcxuft_ramp047_R,dcxuft,Japanese,0.086,R,ramp,314,1477,2730,-,AE1,50,yes,yes,Male,0,initial
609,JP_dcxuft_ramp098_R,dcxuft,Japanese,0.146,R,ramp,289,1265,2278,-,AE1,50,yes,yes,Male,0,initial
610,JP_dcxuft_ramp148_R,dcxuft,Japanese,0.15,R,ramp,317,1377,2436,-,AE1,50,yes,yes,Male,0,initial
611,JP_dcxuft_rap103_R,dcxuft,Japanese,0.12,R,rap,337,1289,2741,-,AE1,50,yes,yes,Male,0,initial
612,JP_dcxuft_reap027_R,dcxuft,Japanese,0.146,R,reap,423,1313,2510,-,IY1,50,yes,yes,Male,0,initial
613,JP_dcxuft_reap078_R,dcxuft,Japanese,0.1,R,reap,353,1449,2421,-,IY1,50,yes,yes,Male,0,initial
614,JP_dcxuft_reef099_R,dcxuft,Japanese,0.124,R,reef,392,1127,2633,-,IY1,50,yes,yes,Male,0,initial
615,JP_dcxuft_reef149_R,dcxuft,Japanese,0.188,R,reef,331,1306,2738,-,IY1,50,yes,yes,Male,0,initial
616,JP_dcxuft_reeve037_R,dcxuft,Japanese,0.068,R,reeve,412,1232,2492,-,IY1,50,yes,yes,Male,0,initial
617,JP_dcxuft_reeve088_R,dcxuft,Japanese,0.14,R,reeve,424,1174,2625,-,IY1,50,yes,yes,Male,0,initial
618,JP_dcxuft_reeve138_R,dcxuft,Japanese,0.128,R,reeve,418,1189,2779,-,IY1,50,yes,yes,Male,0,initial
619,JP_dcxuft_room076_R,dcxuft,Japanese,0.088,R,room,309,1299,2752,-,UW1,50,yes,yes,Male,0,initial
620,JP_dcxuft_room126_R,dcxuft,Japanese,0.116,R,room,276,1262,1708,-,UW1,50,yes,yes,Male,0,initial
621,JP_dcxuft_rube054_R,dcxuft,Japanese,0.092,R,rube,292,1293,2436,-,UW1,50,yes,yes,Male,0,initial
622,JP_dcxuft_rube105_R,dcxuft,Japanese,0.144,R,rube,296,1287,1801,-,UW1,50,yes,yes,Male,0,initial
623,JP_dcxuft_rube155_R,dcxuft,Japanese,0.102,R,rube,282,1333,2548,-,UW1,50,yes,yes,Male,0,initial
624,JP_f9japd_lamb035_L,f9japd,Japanese,0.04,L,lamb,367,1606,2410,-,AE1,50,yes,yes,Male,0,initial
625,JP_f9japd_lamb084_L,f9japd,Japanese,0.062,L,lamb,321,1628,2429,-,AE1,50,yes,yes,Male,0,initial
626,JP_f9japd_lamb132_L,f9japd,Japanese,0.092,L,lamb,284,1660,2412,-,AE1,50,yes,yes,Male,0,initial
627,JP_f9japd_lamb180_L,f9japd,Japanese,0.05,L,lamb,365,1516,2303,-,AE1,50,yes,yes,Male,0,initial
628,JP_f9japd_lamp102_L,f9japd,Japanese,0.09,L,lamp,286,1764,2648,-,AE1,50,yes,yes,Male,0,initial
629,JP_f9japd_lamp150_L,f9japd,Japanese,0.044,L,lamp,331,1617,2350,-,AE1,50,yes,yes,Male,0,initial
630,JP_f9japd_lamp198_L,f9japd,Japanese,0.056,L,lamp,306,1647,2424,-,AE1,50,yes,yes,Male,0,initial
631,JP_f9japd_lap032_L,f9japd,Japanese,0.064,L,lap,298,1652,2995,-,AE1,50,yes,yes,Male,0,initial
632,JP_f9japd_lap081_L,f9japd,Japanese,0.054,L,lap,346,1600,2536,-,AE1,50,yes,yes,Male,0,initial
633,JP_f9japd_lap177_L,f9japd,Japanese,0.094,L,lap,331,1645,2361,-,AE1,50,yes,yes,Male,0,initial
634,JP_f9japd_leap051_L,f9japd,Japanese,0.056,L,leap,271,1733,2660,-,IY1,50,yes,yes,Male,0,initial
635,JP_f9japd_leave083_L,f9japd,Japanese,0.124,L,leave,252,1829,2278,-,IY1,50,yes,yes,Male,0,initial
636,JP_f9japd_leave179_L,f9japd,Japanese,0.088,L,leave,324,1711,2287,-,IY1,50,yes,yes,Male,0,initial
637,JP_f9japd_loom028_L,f9japd,Japanese,0.048,L,loom,270,1618,2298,-,UW1,50,yes,yes,Male,0,initial
638,JP_f9japd_loom173_L,f9japd,Japanese,0.08,L,loom,204,1583,2438,-,UW1,50,yes,yes,Male,0,initial
639,JP_f9japd_lube045_L,f9japd,Japanese,0.07,L,lube,293,1634,2388,-,UW1,50,yes,yes,Male,0,initial
640,JP_f9japd_lube094_L,f9japd,Japanese,0.054,L,lube,287,1674,2474,-,UW1,50,yes,yes,Male,0,initial
641,JP_f9japd_lube142_L,f9japd,Japanese,0.052,L,lube,308,1701,2419,-,UW1,50,yes,yes,Male,0,initial
642,JP_f9japd_lube190_L,f9japd,Japanese,0.114,L,lube,278,1652,2303,-,UW1,50,yes,yes,Male,0,initial
643,JP_f9japd_ram046_R,f9japd,Japanese,0.048,R,ram,316,1588,2409,-,AE1,50,yes,yes,Male,0,initial
644,JP_f9japd_ram095_R,f9japd,Japanese,0.062,R,ram,328,1657,2611,-,AE1,50,yes,yes,Male,0,initial
645,JP_f9japd_ram143_R,f9japd,Japanese,0.09,R,ram,349,1583,1892,-,AE1,50,yes,yes,Male,0,initial
646,JP_f9japd_ram191_R,f9japd,Japanese,0.092,R,ram,321,1706,2118,-,AE1,50,yes,yes,Male,0,initial
647,JP_f9japd_ram204_R,f9japd,Japanese,0.11,R,ram,283,1749,2484,-,AE1,50,yes,yes,Male,0,initial
648,JP_f9japd_ramp047_R,f9japd,Japanese,0.066,R,ramp,322,1675,2597,-,AE1,50,yes,yes,Male,0,initial
649,JP_f9japd_ramp096_R,f9japd,Japanese,0.1,R,ramp,319,1685,2598,-,AE1,50,yes,yes,Male,0,initial
650,JP_f9japd_ramp144_R,f9japd,Japanese,0.092,R,ramp,329,1542,1852,-,AE1,50,yes,yes,Male,0,initial
651,JP_f9japd_ramp192_R,f9japd,Japanese,0.078,R,ramp,348,1536,1845,-,AE1,50,yes,yes,Male,0,initial
652,JP_f9japd_rap052_R,f9japd,Japanese,0.08,R,rap,347,1647,2619,-,AE1,50,yes,yes,Male,0,initial
653,JP_f9japd_rap101_R,f9japd,Japanese,0.064,R,rap,348,1711,2534,-,AE1,50,yes,yes,Male,0,initial
654,JP_f9japd_rap149_R,f9japd,Japanese,0.09,R,rap,374,1529,1792,-,AE1,50,yes,yes,Male,0,initial
655,JP_f9japd_rap197_R,f9japd,Japanese,0.09,R,rap,308,1816,2583,-,AE1,50,yes,yes,Male,0,initial
656,JP_f9japd_reap027_R,f9japd,Japanese,0.04,R,reap,306,1812,2399,-,IY1,50,yes,yes,Male,0,initial
657,JP_f9japd_reap124_R,f9japd,Japanese,0.07,R,reap,292,1780,2281,-,IY1,50,yes,yes,Male,0,initial
658,JP_f9japd_reap172_R,f9japd,Japanese,0.076,R,reap,345,1568,1827,-,IY1,50,yes,yes,Male,0,initial
659,JP_f9japd_reef048_R,f9japd,Japanese,0.052,R,reef,257,1710,2205,-,IY1,50,yes,yes,Male,0,initial
660,JP_f9japd_reef097_R,f9japd,Japanese,0.094,R,reef,301,1815,2636,-,IY1,50,yes,yes,Male,0,initial
661,JP_f9japd_reef145_R,f9japd,Japanese,0.102,R,reef,307,1684,1965,-,IY1,50,yes,yes,Male,0,initial
662,JP_f9japd_reef193_R,f9japd,Japanese,0.082,R,reef,290,1727,2343,-,IY1,50,yes,yes,Male,0,initial
663,JP_f9japd_reeve037_R,f9japd,Japanese,0.042,R,reeve,334,1695,2455,-,IY1,50,yes,yes,Male,0,initial
664,JP_f9japd_reeve086_R,f9japd,Japanese,0.06,R,reeve,324,1733,2572,-,IY1,50,yes,yes,Male,0,initial
665,JP_f9japd_reeve134_R,f9japd,Japanese,0.078,R,reeve,303,1652,2326,-,IY1,50,yes,yes,Male,0,initial
666,JP_f9japd_reeve182_R,f9japd,Japanese,0.098,R,reeve,307,1569,1791,-,IY1,50,yes,yes,Male,0,initial
667,JP_f9japd_reeve201_R,f9japd,Japanese,0.126,R,reeve,300,1856,2395,-,IY1,50,yes,yes,Male,0,initial
668,JP_f9japd_room025_R,f9japd,Japanese,0.068,R,room,327,1575,2073,-,UW1,50,yes,yes,Male,0,initial
669,JP_f9japd_room074_R,f9japd,Japanese,0.1,R,room,301,1739,2502,-,UW1,50,yes,yes,Male,0,initial
670,JP_f9japd_room122_R,f9japd,Japanese,0.136,R,room,317,1542,1799,-,UW1,50,yes,yes,Male,0,initial
671,JP_f9japd_room170_R,f9japd,Japanese,0.082,R,room,293,1604,1809,-,UW1,50,yes,yes,Male,0,initial
672,JP_f9japd_rube054_R,f9japd,Japanese,0.048,R,rube,319,1631,2129,-,UW1,50,yes,yes,Male,0,initial
673,JP_f9japd_rube103_R,f9japd,Japanese,0.092,R,rube,312,1523,1772,-,UW1,50,yes,yes,Male,0,initial
674,JP_f9japd_rube199_R,f9japd,Japanese,0.136,R,rube,280,1673,2492,-,UW1,50,yes,yes,Male,0,initial
675,JP_f9japd_rube205_R,f9japd,Japanese,0.158,R,rube,303,1597,1953,-,UW1,50,yes,yes,Male,0,initial
676,JP_hgrist_lamb035_L,hgrist,Japanese,0.04,L,lamb,440,1476,2326,-,AE1,50,yes,yes,Male,0,initial
677,JP_hgrist_lamb086_L,hgrist,Japanese,0.056,L,lamb,415,1353,2218,-,AE1,50,yes,yes,Male,0,initial
678,JP_hgrist_lamb134_L,hgrist,Japanese,0.052,L,lamb,343,1402,2345,-,AE1,50,yes,yes,Male,0,initial
679,JP_hgrist_lamb182_L,hgrist,Japanese,0.072,L,lamb,350,1459,2490,-,AE1,50,yes,yes,Male,0,initial
680,JP_hgrist_lamp104_L,hgrist,Japanese,0.05,L,lamp,501,1215,1859,-,AE1,50,yes,yes,Male,0,initial
681,JP_hgrist_lamp152_L,hgrist,Japanese,0.058,L,lamp,318,1376,2917,-,AE1,50,yes,yes,Male,0,initial
682,JP_hgrist_lamp200_L,hgrist,Japanese,0.064,L,lamp,366,1356,2253,-,AE1,50,yes,yes,Male,0,initial
683,JP_hgrist_lap032_L,hgrist,Japanese,0.062,L,lap,354,1386,2160,-,AE1,50,yes,yes,Male,0,initial
684,JP_hgrist_lap083_L,hgrist,Japanese,0.056,L,lap,349,1436,2287,-,AE1,50,yes,yes,Male,0,initial
685,JP_hgrist_lap131_L,hgrist,Japanese,0.072,L,lap,335,1443,2136,-,AE1,50,yes,yes,Male,0,initial
686,JP_hgrist_lap179_L,hgrist,Japanese,0.07,L,lap,331,1448,2288,-,AE1,50,yes,yes,Male,0,initial
687,JP_hgrist_leaf084_L,hgrist,Japanese,0.036,L,leaf,272,1613,2295,-,IY1,50,yes,yes,Male,0,initial
688,JP_hgrist_leaf132_L,hgrist,Japanese,0.04,L,leaf,247,1530,2833,-,IY1,50,yes,yes,Male,0,initial
689,JP_hgrist_leaf180_L,hgrist,Japanese,0.042,L,leaf,243,1648,2186,-,IY1,50,yes,yes,Male,0,initial
690,JP_hgrist_leap051_L,hgrist,Japanese,0.034,L,leap,331,1923,2876,-,IY1,50,yes,yes,Male,0,initial
691,JP_hgrist_leap150_L,hgrist,Japanese,0.06,L,leap,249,1825,2117,-,IY1,50,yes,yes,Male,0,initial
692,JP_hgrist_leave034_L,hgrist,Japanese,0.048,L,leave,325,1153,1981,-,IY1,50,yes,yes,Male,0,initial
693,JP_hgrist_leave085_L,hgrist,Japanese,0.05,L,leave,284,1537,2357,-,IY1,50,yes,yes,Male,0,initial
694,JP_hgrist_leave181_L,hgrist,Japanese,0.064,L,leave,243,1557,1763,-,IY1,50,yes,yes,Male,0,initial
695,JP_hgrist_loom175_L,hgrist,Japanese,0.038,L,loom,320,1354,2696,-,UW1,50,yes,yes,Male,0,initial
696,JP_hgrist_lube045_L,hgrist,Japanese,0.052,L,lube,254,1374,2188,-,UW1,50,yes,yes,Male,0,initial
697,JP_hgrist_lube096_L,hgrist,Japanese,0.044,L,lube,246,1137,2014,-,UW1,50,yes,yes,Male,0,initial
698,JP_hgrist_lube144_L,hgrist,Japanese,0.042,L,lube,303,1467,2309,-,UW1,50,yes,yes,Male,0,initial
699,JP_hgrist_ram046_R,hgrist,Japanese,0.062,R,ram,419,1438,2287,-,AE1,50,yes,yes,Male,0,initial
700,JP_hgrist_ram097_R,hgrist,Japanese,0.058,R,ram,476,1378,1829,-,AE1,50,yes,yes,Male,0,initial
701,JP_hgrist_ram145_R,hgrist,Japanese,0.072,R,ram,346,1618,2341,-,AE1,50,yes,yes,Male,0,initial
702,JP_hgrist_ram193_R,hgrist,Japanese,0.07,R,ram,375,1072,2221,-,AE1,50,yes,yes,Male,0,initial
703,JP_hgrist_ramp047_R,hgrist,Japanese,0.038,R,ramp,491,1457,2356,-,AE1,50,yes,yes,Male,0,initial
704,JP_hgrist_ramp098_R,hgrist,Japanese,0.03,R,ramp,382,1373,1975,-,AE1,50,yes,yes,Male,0,initial
705,JP_hgrist_ramp146_R,hgrist,Japanese,0.04,R,ramp,335,1092,1435,-,AE1,50,yes,yes,Male,0,initial
706,JP_hgrist_ramp194_R,hgrist,Japanese,0.074,R,ramp,392,875,1517,-,AE1,50,yes,yes,Male,0,initial
707,JP_hgrist_rap103_R,hgrist,Japanese,0.09,R,rap,312,1257,2278,-,AE1,50,yes,yes,Male,0,initial
708,JP_hgrist_rap151_R,hgrist,Japanese,0.048,R,rap,352,1110,1450,-,AE1,50,yes,yes,Male,0,initial
709,JP_hgrist_rap199_R,hgrist,Japanese,0.088,R,rap,330,1481,1897,-,AE1,50,yes,yes,Male,0,initial
710,JP_hgrist_reap027_R,hgrist,Japanese,0.048,R,reap,332,1215,1944,-,IY1,50,yes,yes,Male,0,initial
711,JP_hgrist_reap126_R,hgrist,Japanese,0.044,R,reap,337,1225,1999,-,IY1,50,yes,yes,Male,0,initial
712,JP_hgrist_reap174_R,hgrist,Japanese,0.052,R,reap,299,1090,2270,-,IY1,50,yes,yes,Male,0,initial
713,JP_hgrist_reef099_R,hgrist,Japanese,0.068,R,reef,328,1086,1963,-,IY1,50,yes,yes,Male,0,initial
714,JP_hgrist_reef147_R,hgrist,Japanese,0.038,R,reef,302,962,1963,-,IY1,50,yes,yes,Male,0,initial
715,JP_hgrist_reeve037_R,hgrist,Japanese,0.04,R,reeve,293,1524,2132,-,IY1,50,yes,yes,Male,0,initial
716,JP_hgrist_reeve088_R,hgrist,Japanese,0.082,R,reeve,350,1288,2080,-,IY1,50,yes,yes,Male,0,initial
717,JP_hgrist_reeve136_R,hgrist,Japanese,0.058,R,reeve,347,1155,2187,-,IY1,50,yes,yes,Male,0,initial
718,JP_hgrist_reeve184_R,hgrist,Japanese,0.066,R,reeve,340,1079,2139,-,IY1,50,yes,yes,Male,0,initial
719,JP_hgrist_room025_R,hgrist,Japanese,0.066,R,room,375,1413,1998,-,UW1,50,yes,yes,Male,0,initial
720,JP_hgrist_room076_R,hgrist,Japanese,0.046,R,room,340,1179,1890,-,UW1,50,yes,yes,Male,0,initial
721,JP_hgrist_room124_R,hgrist,Japanese,0.06,R,room,280,946,1738,-,UW1,50,yes,yes,Male,0,initial
722,JP_hgrist_room172_R,hgrist,Japanese,0.042,R,room,275,1118,1740,-,UW1,50,yes,yes,Male,0,initial
723,JP_hgrist_rube105_R,hgrist,Japanese,0.036,R,rube,287,1104,2060,-,UW1,50,yes,yes,Male,0,initial
724,JP_hgrist_rube153_R,hgrist,Japanese,0.064,R,rube,272,1591,2398,-,UW1,50,yes,yes,Male,0,initial
725,JP_hgrist_rube201_R,hgrist,Japanese,0.058,R,rube,307,1116,1678,-,UW1,50,yes,yes,Male,0,initial
726,JP_i3wa7f_lamb036_L,i3wa7f,Japanese,0.13,L,lamb,338,1549,2446,-,AE1,50,yes,yes,Male,0,initial
727,JP_i3wa7f_lamb087_L,i3wa7f,Japanese,0.074,L,lamb,303,1571,2410,-,AE1,50,yes,yes,Male,0,initial
728,JP_i3wa7f_lamb137_L,i3wa7f,Japanese,0.132,L,lamb,348,1617,2474,-,AE1,50,yes,yes,Male,0,initial
729,JP_i3wa7f_lamb168_L,i3wa7f,Japanese,0.11,L,lamb,373,1653,2474,-,AE1,50,yes,yes,Male,0,initial
730,JP_i3wa7f_lamp054_L,i3wa7f,Japanese,0.062,L,lamp,350,1624,2394,-,AE1,50,yes,yes,Male,0,initial
731,JP_i3wa7f_lamp105_L,i3wa7f,Japanese,0.118,L,lamp,306,1693,2525,-,AE1,50,yes,yes,Male,0,initial
732,JP_i3wa7f_lamp155_L,i3wa7f,Japanese,0.04,L,lamp,354,1656,2483,-,AE1,50,yes,yes,Male,0,initial
733,JP_i3wa7f_lamp186_L,i3wa7f,Japanese,0.07,L,lamp,374,1615,2360,-,AE1,50,yes,yes,Male,0,initial
734,JP_i3wa7f_lap033_L,i3wa7f,Japanese,0.032,L,lap,409,1540,2502,-,AE1,50,yes,yes,Male,0,initial
735,JP_i3wa7f_lap084_L,i3wa7f,Japanese,0.082,L,lap,341,1652,2446,-,AE1,50,yes,yes,Male,0,initial
736,JP_i3wa7f_lap134_L,i3wa7f,Japanese,0.1,L,lap,278,1705,2449,-,AE1,50,yes,yes,Male,0,initial
737,JP_i3wa7f_lap165_L,i3wa7f,Japanese,0.106,L,lap,348,1670,2406,-,AE1,50,yes,yes,Male,0,initial
738,JP_i3wa7f_leaf034_L,i3wa7f,Japanese,0.088,L,leaf,304,1757,2485,-,IY1,50,yes,yes,Male,0,initial
739,JP_i3wa7f_leaf085_L,i3wa7f,Japanese,0.048,L,leaf,280,1649,2546,-,IY1,50,yes,yes,Male,0,initial
740,JP_i3wa7f_leaf135_L,i3wa7f,Japanese,0.1,L,leaf,305,1678,2399,-,IY1,50,yes,yes,Male,0,initial
741,JP_i3wa7f_leaf166_L,i3wa7f,Japanese,0.078,L,leaf,352,1564,2238,-,IY1,50,yes,yes,Male,0,initial
742,JP_i3wa7f_leap103_L,i3wa7f,Japanese,0.078,L,leap,294,1699,2246,-,IY1,50,yes,yes,Male,0,initial
743,JP_i3wa7f_leap153_L,i3wa7f,Japanese,0.06,L,leap,311,1596,2306,-,IY1,50,yes,yes,Male,0,initial
744,JP_i3wa7f_leap184_L,i3wa7f,Japanese,0.044,L,leap,306,1694,2176,-,IY1,50,yes,yes,Male,0,initial
745,JP_i3wa7f_leave035_L,i3wa7f,Japanese,0.114,L,leave,320,1666,2475,-,IY1,50,yes,yes,Male,0,initial
746,JP_i3wa7f_leave086_L,i3wa7f,Japanese,0.104,L,leave,277,1646,2491,-,IY1,50,yes,yes,Male,0,initial
747,JP_i3wa7f_leave136_L,i3wa7f,Japanese,0.072,L,leave,366,1697,2433,-,IY1,50,yes,yes,Male,0,initial
748,JP_i3wa7f_leave167_L,i3wa7f,Japanese,0.09,L,leave,282,1645,2433,-,IY1,50,yes,yes,Male,0,initial
749,JP_i3wa7f_loom029_L,i3wa7f,Japanese,0.05,L,loom,294,1496,2358,-,UW1,50,yes,yes,Male,0,initial
750,JP_i3wa7f_loom080_L,i3wa7f,Japanese,0.062,L,loom,331,1398,2258,-,UW1,50,yes,yes,Male,0,initial
751,JP_i3wa7f_loom130_L,i3wa7f,Japanese,0.062,L,loom,341,1591,2506,-,UW1,50,yes,yes,Male,0,initial
752,JP_i3wa7f_loom161_L,i3wa7f,Japanese,0.096,L,loom,310,1472,2370,-,UW1,50,yes,yes,Male,0,initial
753,JP_i3wa7f_lube046_L,i3wa7f,Japanese,0.06,L,lube,259,1513,2402,-,UW1,50,yes,yes,Male,0,initial
754,JP_i3wa7f_lube097_L,i3wa7f,Japanese,0.116,L,lube,283,1509,2480,-,UW1,50,yes,yes,Male,0,initial
755,JP_i3wa7f_lube147_L,i3wa7f,Japanese,0.09,L,lube,295,1515,2271,-,UW1,50,yes,yes,Male,0,initial
756,JP_i3wa7f_lube178_L,i3wa7f,Japanese,0.102,L,lube,321,1510,2396,-,UW1,50,yes,yes,Male,0,initial
757,JP_i3wa7f_ram047_R,i3wa7f,Japanese,0.046,R,ram,366,1128,1649,-,AE1,50,yes,yes,Male,0,initial
758,JP_i3wa7f_ram098_R,i3wa7f,Japanese,0.05,R,ram,361,993,1665,-,AE1,50,yes,yes,Male,0,initial
759,JP_i3wa7f_ram148_R,i3wa7f,Japanese,0.046,R,ram,354,993,1642,-,AE1,50,yes,yes,Male,0,initial
760,JP_i3wa7f_ram179_R,i3wa7f,Japanese,0.05,R,ram,351,986,1649,-,AE1,50,yes,yes,Male,0,initial
761,JP_i3wa7f_ramp048_R,i3wa7f,Japanese,0.094,R,ramp,304,952,1705,-,AE1,50,yes,yes,Male,0,initial
762,JP_i3wa7f_ramp099_R,i3wa7f,Japanese,0.096,R,ramp,349,999,1630,-,AE1,50,yes,yes,Male,0,initial
763,JP_i3wa7f_ramp149_R,i3wa7f,Japanese,0.072,R,ramp,340,994,1650,-,AE1,50,yes,yes,Male,0,initial
